Renner,€,T,Team,OML,KBK,SAM,STR,NOK,BKC,MSR,RVB,E3,IFF,DDV,RVV,SP,PR,RVL,BR P,AGR,WA P,LBL,Tot Ptn,Ptn/M,#races '26,Opsomming races,Specialiteit,Level
KIELICH Timo,3,VLAB,Team Visma | Lease a Bike,X,,,X,,,X,,X,X,,X,,X,,,,,,0,"0,0",7,"OML, STR, MSR, E3, IFF, RVV, PR",Oneday,WT
KUBIŠ Lukáš,4,UNI,Unibet Rose Rockets,X,X,,,,X,,,,X,X,X,,X,,,,,,0,"0,0",7,"OML, KBK, BKC, IFF, DDV, RVV, PR",Oneday,PT
TEUNISSEN Mike,4,AST,XDS Astana Team,X,,,,,,X,,X,X,X,X,,X,,,,,,0,"0,0",7,"OML, MSR, E3, IFF, DDV, RVV, PR",Oneday,PT
LIVYNS Arjen,3,AST,XDS Astana Team,X,X,,X,X,,,,X,X,X,,,,,,,,,0,"0,0",7,"OML, KBK, STR, NOK, E3, IFF, DDV",Oneday,WT
FRETIN Milan,5,COF,Cofidis,,X,,,,X,,X,,X,,,X,,X,,,,,0,"0,0",6,"KBK, BKC, RVB, IFF, SP, RVL",Sprint,PT
RENARD Alexis,3,COF,Cofidis,X,,X,,X,,,X,,X,X,,,,,,,,,0,"0,0",6,"OML, SAM, NOK, RVB, IFF, DDV",Oneday,WT
HOOLE Daan,3,DEC,Decathlon CMA CGM Team,,X,,,,,,X,,X,X,X,,X,,,,,,0,"0,0",6,"KBK, RVB, IFF, DDV, RVV, PR",TT,PT
BISSEGGER Stefan,3,DEC,Decathlon CMA CGM Team,X,X,,,,,,,X,X,,X,,X,,,,,,0,"0,0",6,"OML, KBK, E3, IFF, RVV, PR",TT,WT
GRUEL Thibaud,3,FDJ,Groupama - FDJ,X,,X,,,,,,X,X,X,X,,,,,,,,0,"0,0",6,"OML, SAM, E3, IFF, DDV, RVV",Hills,PT
PEDERSEN Mads,10,LIDL,Lidl - Trek,,,,,,,X,,X,X,X,X,,X,,,,,,0,"0,0",6,"MSR, E3, IFF, DDV, RVV, PR",Oneday,WT
ADRIÀ Roger,3,MOV,Movistar Team,X,X,,X,,,,,,,,,,,,,X,X,X,0,"0,0",6,"OML, KBK, STR, AGR, WA P, LBL",Oneday,PT
HERMANS Quinten,4,Q36.5,Pinarello Q36.5 Pro Cycling Team,,,,X,,,X,,,,,,,,,X,X,X,X,0,"0,0",6,"STR, MSR, BR P, AGR, WA P, LBL",Hills,PT
VAN BAARLE Dylan,4,SQS,Soudal - Quick Step,X,X,,,,,,,X,,X,X,,X,,,,,,0,"0,0",6,"OML, KBK, E3, DDV, RVV, PR",Oneday,CT
MATTHEWS Michael,6,JAY,Team Jayco AlUla,,,,,,,X,,X,X,,X,,,,,X,,X,0,"0,0",6,"MSR, E3, IFF, RVV, AGR, LBL",Oneday,PT
VAN AERT Wout,11,VLAB,Team Visma | Lease a Bike,X,,X,X,,,X,,,,,X,,X,,,,,,0,"0,0",6,"OML, SAM, STR, MSR, RVV, PR",Oneday,WT
ZINGLE Axel,4,VLAB,Team Visma | Lease a Bike,X,X,,,,,,,X,,X,X,,,,,X,,,0,"0,0",6,"OML, KBK, E3, DDV, RVV, AGR",Oneday,WT
OLIVEIRA Rui,3,UAE,UAE Team Emirates - XRG,X,X,,,X,,,,,X,,X,,X,,,,,,0,"0,0",6,"OML, KBK, NOK, IFF, RVV, PR",Hills,WT
GROENEWEGEN Dylan,4,UNI,Unibet Rose Rockets,,X,X,,,X,,X,,,,,X,,X,,,,,0,"0,0",6,"KBK, SAM, BKC, RVB, SP, RVL",Sprint,WT
BALLERINI Davide,4,AST,XDS Astana Team,X,,,,,,X,X,,X,,X,,X,,,,,,0,"0,0",6,"OML, MSR, RVB, IFF, RVV, PR",Oneday,WT
SENTJENS Sente,2,ALP,Alpecin-Premier Tech,,X,,,X,X,,,,,,,X,,X,,,,,0,"0,0",5,"KBK, NOK, BKC, SP, RVL",Sprint,WT
VALTER Attila,4,BAH,Bahrain - Victorious,X,X,,X,,,,,X,,,X,,,,,,,,0,"0,0",5,"OML, KBK, STR, E3, RVV",Climber,PT
ANIOŁKOWSKI Stanisław,3,COF,Cofidis,X,,X,,X,X,,X,,,,,,,,,,,,0,"0,0",5,"OML, SAM, NOK, BKC, RVB",Sprint,WT
LABROSSE Jordan,3,DEC,Decathlon CMA CGM Team,,,,X,,,X,,,,,,,,,,X,X,X,0,"0,0",5,"STR, MSR, AGR, WA P, LBL",Hills,PT
ASGREEN Kasper,4,EFE,EF Education - EasyPost,X,X,,,,,X,,X,,,,,X,,,,,,0,"0,0",5,"OML, KBK, MSR, E3, PR",TT,PT
HONORÉ Mikkel Frølich,3,EFE,EF Education - EasyPost,X,,,X,,,X,,,,,X,,,,,,,X,0,"0,0",5,"OML, STR, MSR, RVV, LBL",Oneday,PT
VALGREN Michael,3,EFE,EF Education - EasyPost,,,,,,,,,X,X,X,X,,X,,,,,,0,"0,0",5,"E3, IFF, DDV, RVV, PR",Oneday,PT
LAURANCE Axel,4,INE,INEOS Grenadiers,,,,X,,,X,,,,,,,,,,X,X,X,0,"0,0",5,"STR, MSR, AGR, WA P, LBL",Hills,PT
KRAGH ANDERSEN Søren,4,LIDL,Lidl - Trek,X,,,,,,X,,X,,X,,,X,,,,,,0,"0,0",5,"OML, MSR, E3, DDV, PR",TT,WT
